352.97,2166.4,1218,3307.5,810.86,1132.5,483.4,637.72,3282.9,676.1,555.84,1170.2,1688.3,2495.4,3312.7,838.5,860.25,2863.5,2553.4,508.14,353.1,300.93,253.11,187.92,167.63,419.75,136.47,335.71,954.7,345.15,502.33,146.76,468.3,321.96,175.77,70.26,40.06,32.85,40.14,90.11,47.39,32.12,43.04,91.5,70.42,48.7,50.89,61.74,66.06,56.65,87.82,5130.4
1025.3,345.02,584.81,877.51,512.36,1499.1,1827.3,519.61,535.55,1596.2,416.72,304.43,673.94,1149.3,2163.6,1518.8,1188.4,390.03,263.27,305.28,287.22,253.54,3262.7,227.19,148.35,89.38,54.76,248.77,278.7,541.46,658.11,194.69,85.38,127.41,100.61,361.05,88.66,44.46,206.02,369.04,2765,857.34,904.44,292.9,849.26,318.21,2385.2,709.43,386.31,485.55,3585,862.31
1376,1064.4,491.35,365.29,3495.1,4355.1,3338.7,3524.8,1414.4,746.38,2267.8,4147.9,2005.6,5313.1,978.35,594.34,612.46,511.05,1637.6,417.57,234.27,1648.5,327.01,181.61,123.77,121.59,81.76,184.29,83.35,150.29,421.22,170.54,264.72,1072.9,820.39,892.94,1054.3,237.88,155.31,250.95,260.38,273.42,295.12,192.95,160.26,158.82,156.65,172.58,139.96,493.53,241.4,262.44
535.53,208.78,1322.4,307.33,289.22,3106.8,884.02,3367.6,1438.3,925.32,899.98,2564.9,2347.5,2347.6,1289.1,779.82,461.06,381.36,2537.5,705.21,336.43,236.6,281.58,798.27,729.83,788.53,314.87,224.61,432.1,966.49,630.43,357.65,135.89,2676.9,687.98,217.29,154.33,141.57,102.42,73.42,58.96,49.55,121.26,56.71,64.62,72.6,131.99,97.21,74.77,1099.2,1665,747.12
7266.9,1347.7,1017.3,2874.2,2456.2,778.98,763.03,4907.2,2824.3,2090.3,2663.4,1356.4,2536.6,2544,3192.4,831.28,503.79,519.72,302.38,255.29,175.61,710.29,498.72,500.19,716.09,358.28,298.64,185.74,134.76,142.45,578.82,1075.4,185.19,388.29,180.2,84.89,66.93,335.72,123.45,91.55,69.08,53.91,54.63,100.91,3558.9,460.18,1767.9,473.25,340.67,245.02,261.7,2222.2
552.21,564.53,1965.7,882.57,777.51,569.59,1203.5,1319.5,1353.5,5594,2700.4,1048.5,547.86,471.21,400.91,293.69,229.91,312.53,331.36,167.64,155.31,157.49,128.51,75.6,120.54,72.97,185.15,157.8,63.6,134.81,244.11,85.45,26.98,492.58,72.93,41.37,59.69,52.42,102.4,84.32,20.53,12.59,12.59,20.49,1820.8,137.08,105.94,958.66,266.03,621.77,274.7,681.9
1139.1,1990.3,898.53,1625.2,547.87,2631.5,1787.5,1632.4,1297,809.42,1015.9,832.59,517.43,697.98,1777.5,713.9,322.68,271.93,190.11,159.66,118.38,105.83,117.65,64.97,249.32,177.77,51,384.96,158.91,111.24,360.47,141.55,63.58,47.38,340.28,112.57,641.48,114.75,55.35,1700.7,295.87,389.33,161.1,135.68,146.49,137.79,179.81,461.64,579.73,414.57,405.13,1251.4
314.57,304.41,283.41,1361.5,451.52,4209.5,1058.6,784.06,959.37,2593.1,1623,1182.5,1155.7,495.83,443.66,373.4,2432.4,559.59,308.18,197.34,159.69,169.93,103.15,1205.8,288.78,281.59,167.65,859.55,551.72,1251.8,518.89,280.12,147.69,177.18,97.54,65.22,69,71.98,60.41,65.47,122,53.9,42.32,40.8,46.51,70.41,56.66,55.2,38.55,37.82,40.74,45.83
54.5,79.84,70.43,455.13,227.65,1026,3853.1,973.87,4651.5,1189.1,395.72,321.8,277.64,207.49,200.97,198.82,208.23,479.17,239.38,190.83,822.6,648.7,153.89,116.29,77.61,54.09,37.94,28.21,27.5,21.22,167.18,354.57,384.36,207.55,24.32,13.8,6.52,658.85,85.05,71.29,37.25,187.21,242.26,145.83,110.99,101.58,76.21,87.8,73.32,169.67,121.86,977.5
470.35,678.28,559.46,389.2,215.32,404.39,1426.7,1910.6,377.61,281.25,292.11,608.72,278.36,205.31,171.27,161.86,486.44,205.32,233.57,142.29,160.4,164.76,110.55,62.82,2129.1,100.33,748.28,210.39,176.76,114.77,84.22,66.22,46.24,136.14,139.39,42.31,40.87,40.17,61.16,38.7,19.14,35.08,45.93,32.81,29.87,28.43,34.21,72.58,431.94,748.54,898.52,2154.8
